Date,Impressions,CTR,Clicks,CPC,Cost,ROI,Revenue,Device
2023-01-20,6069960,0.869,5274795,1.946,10264751.07,1.096,11250167.173,Mobile
2023-01-21,796095,0.347,276244,1.822,503316.568,1.356,682497.266,Desktop
2023-01-22,7249889,0.697,5053172,2.103,10626820.716,1.329,14123044.732,Mobile
2023-01-22,2682772,0.266,713617,2.273,1622051.441,1.008,1635027.853,Desktop
2023-01-23,8087475,0.216,1746894,0.677,1182647.238,0.814,962674.852,Desktop
2023-01-24,1850749,0.734,1358449,1.518,2062125.582,0.904,1864161.526,Mobile
2023-01-25,5391613,0.771,4156933,1.422,5911158.726,1.218,7199791.328,Mobile
2023-01-25,3042701,0.377,1147098,2.19,2512144.62,1.547,3886287.727,Mobile
2023-01-26,5244115,0.383,2008496,0.779,1564618.384,1.461,2285907.459,Mobile
2023-01-27,8489423,0.568,4821992,1.405,6774898.76,1.044,7072994.305,Desktop
2023-01-28,4280638,0.741,3171952,0.749,2375792.048,1.085,2577734.372,Mobile
2023-01-28,8013655,0.87,6971879,0.468,3262839.372,1.408,4594077.836,Desktop
2023-01-29,9955203,0.964,9596815,2.076,19922987.94,1.004,20002679.892,Desktop
2023-01-30,1349228,0.797,1075334,0.978,1051676.652,1.333,1401884.977,Mobile
2023-01-30,1761434,0.529,931798,0.578,538579.244,1.196,644140.776,Mobile
2023-01-31,3745040,0.727,2722644,0.277,754172.388,0.953,718726.286,Mobile
2023-02-01,4218274,0.986,4159218,1.645,6841913.61,0.838,5733523.605,Desktop
2023-02-02,4770646,0.263,1254679,2.312,2900817.848,1.276,3701443.574,Mobile
2023-02-02,6219115,0.634,3942918,0.674,2657526.732,1.238,3290018.094,Mobile
2023-02-03,8145649,0.993,8088629,2.234,18069997.186,0.879,15883527.526,Desktop
2023-02-04,1596700,0.566,903732,0.602,544046.664,0.842,458087.291,Desktop
2023-02-05,5015045,0.934,4684052,0.196,918074.192,1.448,1329371.43,Desktop
2023-02-05,9056868,0.897,8124010,0.581,4720049.81,1.136,5361976.584,Desktop
2023-02-06,8162086,0.807,6586803,2.055,13535880.165,0.977,13224554.921,Desktop
2023-02-07,6216978,0.433,2691951,1.727,4648999.377,1.138,5290561.291,Mobile
2023-02-07,8622496,0.746,6432382,1.469,9449169.158,0.767,7247512.744,Mobile
2023-02-08,3672089,0.016,58753,1.483,87130.699,0.761,66306.462,Desktop
2023-02-09,9598121,0.365,3503314,2.29,8022589.06,1.366,10958856.656,Desktop
2023-02-10,7445399,0.805,5993546,0.803,4812817.438,1.204,5794632.195,Desktop
2023-02-10,4107024,0.206,846046,1.328,1123549.088,1.393,1565103.88,Desktop
2023-02-11,9695366,0.655,6350464,1.687,10713232.768,1.112,11913114.838,Mobile
2023-02-12,8637035,0.182,1571940,1.594,2505672.36,0.778,1949413.096,Mobile
2023-02-13,2570466,0.942,2421378,0.689,1668329.442,0.903,1506501.486,Mobile
2023-02-13,4542975,0.917,4165908,1.326,5523994.008,0.971,5363798.182,Desktop
2023-02-14,9594340,0.478,4586094,0.515,2361838.41,0.806,1903641.758,Desktop
2023-02-15,5690011,0.712,4051287,2.044,8280830.628,1.29,10682271.51,Mobile
2023-02-16,8584515,0.7,6009160,0.838,5035676.08,1.176,5921955.07,Desktop
2023-02-16,6653921,0.214,1423939,1.248,1777075.872,1.242,2207128.233,Mobile
2023-02-17,7107610,0.53,3767033,1.606,6049854.998,1.435,8681541.922,Mobile
2023-02-18,8249050,0.399,3291370,1.799,5921174.63,1.434,8490964.419,Mobile
2023-02-18,2327283,0.935,2176009,1.468,3194381.212,1.251,3996170.896,Mobile
2023-02-19,2929760,0.261,764667,2.107,1611153.369,1.494,2407063.133,Mobile
2023-02-20,3904341,0.559,2182526,1.689,3686286.414,1.536,5662135.932,Mobile
2023-02-21,5516041,0.584,3221367,1.428,4600112.076,1.353,6223951.639,Desktop
2023-02-21,9738650,0.039,379807,1.39,527931.73,1.05,554328.316,Mobile
2023-02-22,7439928,0.446,3318207,1.661,5511541.827,1.457,8030316.442,Mobile
2023-02-23,3919520,0.821,3217925,2.172,6989333.1,1.087,7597405.08,Mobile
2023-02-24,3625894,0.32,1160286,1.103,1279795.458,1.505,1926092.164,Desktop
2023-02-24,5920955,0.222,1314452,0.335,440341.42,1.215,535014.825,Mobile
2023-02-25,9905850,0.976,9668109,1.51,14598844.59,1.047,15284990.286,Mobile
2023-02-26,3298653,0.195,643237,1.155,742938.735,1.103,819461.425,Desktop
2023-02-26,1654077,0.668,1104923,1.802,1991071.246,1.431,2849222.953,Mobile
2023-02-27,1326319,0.813,1078297,2.18,2350687.46,0.837,1967525.404,Desktop
2023-02-28,2089425,0.288,601754,1.508,907445.032,1.23,1116157.389,Desktop
2023-03-01,8575276,0.036,308709,0.152,46923.768,1.111,52132.306,Desktop
2023-03-01,9279177,0.177,1642414,0.48,788358.72,0.756,595999.192,Desktop
2023-03-02,3455683,0.489,1689828,1.814,3065347.992,0.93,2850773.633,Desktop
2023-03-03,5934035,0.684,4058879,1.817,7374983.143,1.504,11091974.647,Desktop
2023-03-04,4933376,0.946,4666973,1.836,8568562.428,0.941,8063017.245,Desktop
2023-03-04,5206010,0.976,5081065,0.336,1707237.84,1.126,1922349.808,Mobile
2023-03-05,692180,0.131,90675,0.871,78977.925,0.968,76450.631,Mobile
2023-03-06,3686173,0.526,1938926,1.63,3160449.38,1.155,3650319.034,Desktop
2023-03-07,1546798,0.125,193349,1.747,337780.703,0.93,314136.054,Mobile
2023-03-07,6250310,0.331,2068852,2.086,4315625.272,1.112,4798975.302,Mobile
2023-03-08,6181781,0.728,4500336,2.047,9212187.792,0.779,7176294.29,Desktop
2023-03-09,6319566,0.201,1270232,1.746,2217825.072,1.264,2803330.891,Mobile
2023-03-09,3293179,0.11,362249,0.688,249227.312,0.816,203369.487,Mobile
2023-03-10,2016394,0.055,110901,0.859,95263.959,1.52,144801.218,Desktop
2023-03-11,9894409,0.406,4017130,0.823,3306097.99,1.498,4952534.789,Mobile
2023-03-12,895254,0.191,170993,0.123,21032.139,0.894,18802.732,Mobile
2023-03-12,5561521,0.648,3603865,0.762,2746145.13,1.045,2869721.661,Mobile
2023-03-13,1108662,0.828,917972,2.333,2141628.676,1.317,2820524.966,Mobile
2023-03-14,8129687,0.757,6154173,0.571,3514032.783,1.002,3521060.849,Mobile
2023-03-15,3123923,0.21,656023,1.731,1135575.813,0.909,1032238.414,Desktop
2023-03-15,9669374,0.465,4496258,0.625,2810161.25,1.237,3476169.466,Desktop
2023-03-16,2728014,0.389,1061197,1.351,1433677.147,0.948,1359125.935,Mobile
2023-03-17,8883116,0.979,8696570,0.338,2939440.66,1.281,3765423.485,Mobile
2023-03-17,9091478,0.152,1381904,0.49,677132.96,1.121,759066.048,Desktop
2023-03-18,26123,0.051,1332,0.629,837.828,1.125,942.556,Desktop
2023-03-19,6095909,0.009,54863,0.272,14922.736,1.221,18220.661,Desktop
2023-03-20,8637629,0.746,6443671,1.867,12030333.757,0.772,9287417.66,Mobile
2023-03-20,5888883,0.076,447555,1.824,816340.32,1.046,853891.975,Mobile
2023-03-21,8585429,0.616,5288624,0.984,5204006.016,1.515,7884069.114,Desktop
2023-03-22,9473717,0.395,3742118,1.532,5732924.776,0.838,4804190.962,Mobile
2023-03-23,6640238,0.654,4342715,1.346,5845294.39,1.223,7148795.039,Mobile
2023-03-23,3175211,0.174,552486,1.582,874032.852,0.83,725447.267,Desktop
2023-03-24,8967731,0.141,1264450,1.92,2427744.0,1.288,3126934.272,Mobile
2023-03-25,7360712,0.2,1472142,0.394,580023.948,1.022,592784.475,Desktop
2023-03-26,7038777,0.729,5131268,0.862,4423153.016,1.361,6019911.255,Mobile
2023-03-26,6229444,0.425,2647513,1.547,4095702.611,1.184,4849311.891,Desktop
2023-03-27,6634610,0.751,4982592,0.651,3243667.392,1.006,3263129.396,Mobile
2023-03-28,908724,0.532,483441,2.171,1049550.411,0.982,1030658.504,Desktop
2023-03-28,9280524,0.121,1122943,1.431,1606931.433,1.319,2119542.56,Mobile
2023-03-29,2981801,0.956,2850601,2.203,6279874.003,1.068,6706905.435,Mobile
2023-03-30,2933325,0.976,2862925,1.111,3180709.675,1.012,3218878.191,Desktop
2023-03-31,3517913,0.929,3268141,0.466,1522953.706,1.016,1547320.965,Desktop
2023-03-31,6691793,0.727,4864933,2.04,9924463.32,1.346,13358327.629,Mobile
2023-04-01,9216794,0.898,8276681,1.329,10999709.049,1.127,12396672.098,Desktop
2023-04-02,3977940,0.223,887080,0.715,634262.2,1.15,729401.53,Desktop
2023-04-03,3740101,0.643,2404884,1.164,2799284.976,1.468,4109350.345,Desktop
2023-04-03,6091303,0.587,3575594,2.132,7623166.408,1.191,9079191.192,Desktop
2023-04-04,8577018,0.204,1749711,0.564,986837.004,1.039,1025323.647,Desktop
2023-04-05,1268397,0.396,502285,2.267,1138680.095,1.377,1567962.491,Mobile
2023-04-05,9552571,0.39,3725502,1.021,3803737.542,1.407,5351858.722,Mobile
2023-04-06,3409823,0.079,269376,1.834,494035.584,1.41,696590.173,Desktop
2023-04-07,229289,0.701,160731,0.405,65096.055,0.921,59953.467,Mobile
2023-04-08,1428510,0.57,814250,0.254,206819.5,1.388,287065.466,Mobile
2023-04-08,8451840,0.744,6288168,2.241,14091784.488,1.176,16571938.558,Desktop
2023-04-09,2816003,0.425,1196801,0.623,745607.023,1.5,1118410.534,Desktop
2023-04-10,9929702,0.204,2025659,1.717,3478056.503,0.803,2792879.372,Mobile
2023-04-11,1916668,0.243,465750,1.558,725638.5,0.755,547857.068,Mobile
2023-04-11,2131977,0.518,1104364,0.536,591939.104,1.0,591939.104,Desktop
2023-04-12,8003422,0.076,608260,0.236,143549.36,1.238,177714.108,Mobile
2023-04-13,344056,0.169,58145,1.909,110998.805,1.515,168163.19,Desktop
2023-04-14,3751759,0.878,3294044,1.314,4328373.816,0.994,4302403.573,Desktop
2023-04-14,177727,0.068,12085,0.593,7166.405,0.849,6084.278,Mobile
2023-04-15,2564844,0.606,1554295,1.036,1610249.62,1.494,2405712.932,Desktop
2023-04-16,9142502,0.474,4333545,0.496,2149438.32,1.333,2865201.281,Mobile
2023-04-16,6371605,0.042,267607,1.299,347621.493,1.379,479370.039,Desktop
2023-04-17,2699277,0.17,458877,1.168,535968.336,1.152,617435.523,Desktop
2023-04-18,2696605,0.449,1210775,0.404,489153.1,1.2,586983.72,Mobile
2023-04-19,8309491,0.58,4819504,1.94,9349837.76,0.884,8265256.58,Mobile
2023-04-19,6914837,0.192,1327648,2.325,3086781.6,1.002,3092955.163,Mobile
2023-04-20,429746,0.564,242376,2.157,522805.032,1.499,783684.743,Mobile
2023-04-21,4451349,0.751,3342963,0.278,929343.714,1.182,1098484.27,Desktop
2023-04-22,4518319,0.949,4287884,0.13,557424.92,1.066,594214.965,Mobile
2023-04-22,6927688,0.888,6151786,1.174,7222196.764,1.538,11107738.623,Desktop
2023-04-23,7591265,0.049,371971,2.191,814988.461,0.995,810913.519,Desktop
2023-04-24,8305659,0.64,5315621,1.513,8042534.573,1.007,8098832.315,Desktop
2023-04-24,1207726,0.317,382849,0.256,98009.344,1.038,101733.699,Mobile
2023-04-25,2976027,0.545,1621934,0.272,441166.048,1.399,617191.301,Mobile
2023-04-26,9155538,0.521,4770035,1.694,8080439.29,1.168,9437953.091,Mobile
2023-04-27,8211950,0.512,4204518,2.158,9073349.844,1.187,10770066.265,Mobile
2023-04-27,5983132,0.267,1597496,1.185,1893032.76,1.357,2568845.455,Desktop
2023-04-28,3673948,0.565,2075780,1.279,2654922.62,1.2,3185907.144,Mobile
2023-04-29,7937424,0.818,6492812,0.176,1142734.912,0.82,937042.628,Mobile
2023-04-30,83699,0.496,41514,2.144,89006.016,1.521,135378.15,Mobile
2023-04-30,904599,0.508,459536,0.486,223334.496,0.755,168617.544,Mobile
2023-05-01,2024,0.959,1941,1.712,3322.992,1.342,4459.455,Mobile
2023-05-02,2039792,0.703,1433973,2.068,2965456.164,1.413,4190189.56,Mobile
2023-05-03,238816,0.405,96720,0.888,85887.36,0.783,67249.803,Desktop
2023-05-03,8335331,0.93,7751857,0.687,5325525.759,1.542,8211960.72,Mobile
2023-05-04,771605,0.818,631172,0.375,236689.5,1.077,254914.591,Mobile
2023-05-05,3290681,0.494,1625596,0.743,1207817.828,1.438,1736842.037,Mobile
2023-05-05,9060277,0.521,4720404,2.064,9742913.856,1.373,13377020.724,Mobile
2023-05-06,6340762,0.509,3227447,0.861,2778831.867,1.514,4207151.447,Desktop
2023-05-07,1893944,0.017,32197,0.21,6761.37,1.17,7910.803,Mobile
2023-05-08,859054,0.34,292078,1.892,552611.576,1.06,585768.271,Desktop
2023-05-08,2820967,0.907,2558617,1.121,2868209.657,1.391,3989679.633,Desktop
2023-05-09,3728,0.687,2561,0.95,2432.95,1.313,3194.463,Mobile
2023-05-10,3363673,0.089,299366,1.161,347563.926,1.269,441058.622,Desktop
2023-05-11,5225043,0.785,4101658,1.948,7990029.784,1.272,10163317.885,Desktop
2023-05-11,2167296,0.135,292584,0.232,67879.488,1.325,89940.322,Desktop
2023-05-12,520890,0.219,114074,1.543,176016.182,1.261,221956.406,Mobile
2023-05-13,1230487,0.683,840422,1.103,926985.466,0.752,697093.07,Desktop
2023-05-13,629754,0.501,315506,2.226,702316.356,1.463,1027488.829,Mobile
2023-05-14,8845652,0.254,2246795,0.803,1804176.385,1.117,2015265.022,Desktop
2023-05-15,8806363,0.856,7538246,1.015,7651319.69,0.912,6978003.557,Mobile
2023-05-16,4267634,0.068,290199,0.594,172378.206,1.395,240467.597,Desktop
2023-05-16,4817062,0.687,3309321,2.318,7671006.078,0.9,6903905.47,Desktop
2023-05-17,9325885,0.067,624834,0.996,622334.664,1.164,724397.549,Desktop
2023-05-18,2934515,0.61,1790054,2.162,3870096.748,0.952,3684332.104,Mobile
2023-05-19,5488971,0.184,1009970,0.626,632241.22,0.96,606951.571,Desktop
2023-05-19,9181727,0.322,2956516,1.717,5076337.972,0.954,4842826.425,Desktop
2023-05-20,1845577,0.299,551827,0.512,282535.424,1.451,409958.9,Desktop
2023-05-21,4204959,0.305,1282512,2.26,2898477.12,1.407,4078157.308,Mobile
2023-05-22,555824,0.089,49468,1.751,86618.468,1.236,107060.426,Desktop
2023-05-22,2828423,0.286,808928,1.583,1280533.024,1.295,1658290.266,Mobile
2023-05-23,7349018,0.931,6841935,0.23,1573645.05,1.487,2340010.189,Desktop
2023-05-24,9748013,0.168,1637666,0.202,330808.532,1.191,393992.962,Mobile
2023-05-24,6279618,0.475,2982818,1.703,5079739.054,1.382,7020199.373,Desktop
2023-05-25,6127387,0.953,5839399,0.434,2534299.166,1.099,2785194.783,Mobile
2023-05-26,9919086,0.891,8837905,0.135,1193117.175,1.118,1333905.002,Mobile
2023-05-27,1804682,0.2,360936,1.756,633803.616,0.81,513380.929,Desktop
2023-05-27,9185430,0.604,5547999,0.919,5098611.081,1.108,5649261.078,Desktop
2023-05-28,9569663,0.306,2928316,2.293,6714628.588,1.384,9293045.966,Desktop
2023-05-29,6066963,0.658,3992061,1.549,6183702.489,1.321,8168670.988,Desktop
2023-05-30,2399194,0.551,1321955,0.323,426991.465,1.248,532885.348,Desktop
2023-05-30,6867303,0.887,6091297,1.095,6669970.215,1.345,8971109.939,Mobile
2023-05-31,7512981,0.208,1562700,2.25,3516075.0,1.387,4876796.025,Desktop
2023-06-01,874203,0.471,411749,2.127,875790.123,1.077,943225.962,Mobile
2023-06-01,9579776,0.071,680164,2.216,1507243.424,1.156,1742373.398,Mobile
2023-06-02,6894168,0.046,317131,1.586,502969.766,1.441,724779.433,Mobile
2023-06-03,4449496,0.234,1041182,1.124,1170288.568,1.228,1437114.362,Mobile
2023-06-04,4038664,0.43,1736625,2.195,3811891.875,0.935,3564118.903,Mobile
2023-06-04,6547120,0.371,2428981,1.142,2773896.302,1.547,4291217.579,Desktop
2023-06-05,9354249,0.915,8559137,1.324,11332297.388,1.007,11411623.47,Desktop
2023-06-06,3766779,0.498,1875855,1.303,2444239.065,1.127,2754657.426,Desktop
2023-06-07,9877218,0.707,6983193,1.148,8016705.564,1.249,10012865.249,Desktop
2023-06-07,627060,0.245,153629,1.592,244577.368,1.234,301808.472,Desktop
2023-06-08,5159909,0.928,4788395,0.843,4036616.985,1.037,4185971.813,Desktop
2023-06-09,4463327,0.681,3039525,0.675,2051679.375,1.284,2634356.318,Mobile
2023-06-10,70197,0.966,67810,0.908,61571.48,0.891,54860.189,Mobile
2023-06-10,1722034,0.494,850684,1.235,1050594.74,0.818,859386.497,Mobile
2023-06-11,5234622,0.455,2381753,1.612,3839385.836,1.269,4872180.626,Desktop
2023-06-12,538286,0.873,469923,1.402,658832.046,0.855,563301.399,Mobile
2023-06-12,4849690,0.724,3511175,1.134,3981672.45,0.808,3217191.34,Desktop
2023-06-13,9120810,0.06,547248,1.228,672020.544,1.088,731158.352,Desktop
2023-06-14,1268244,0.602,763482,1.445,1103231.49,1.019,1124192.888,Mobile
2023-06-15,9581189,0.799,7655370,1.336,10227574.32,1.218,12457185.522,Mobile
2023-06-15,9115062,0.937,8540813,2.333,19925716.729,1.514,30167535.128,Desktop
2023-06-16,4183918,0.263,1100370,0.579,637114.23,1.512,963316.716,Desktop
2023-06-17,8758994,0.409,3582428,1.438,5151531.464,1.317,6784566.938,Mobile
2023-06-18,6588209,0.499,3287516,0.756,2485362.096,1.307,3248368.259,Mobile
2023-06-18,1997251,0.148,295593,1.092,322787.556,1.469,474174.92,Mobile
2023-06-19,1086318,0.556,603992,1.941,1172348.472,1.473,1726869.299,Desktop
2023-06-20,7158196,0.872,6241946,0.826,5155847.396,1.21,6238575.349,Mobile
2023-06-20,8814436,0.492,4336702,0.537,2328808.974,0.786,1830443.854,Desktop
2023-06-21,2393742,0.017,40693,0.142,5778.406,1.357,7841.297,Mobile
2023-06-22,9575011,0.15,1436251,0.793,1138947.043,1.089,1240313.33,Mobile
2023-06-23,9455121,0.276,2609613,1.552,4050119.376,0.77,3118591.92,Mobile
2023-06-23,2994416,0.812,2431465,1.157,2813205.005,0.902,2537510.915,Desktop
2023-06-24,7735127,0.389,3008964,1.368,4116262.752,1.495,6153812.814,Desktop
2023-06-25,4612673,0.908,4188307,0.125,523538.375,1.275,667511.428,Desktop
2023-06-26,8125152,0.389,3160684,1.741,5502750.844,1.461,8039518.983,Mobile
2023-06-26,5445679,0.696,3790192,0.138,523046.496,1.319,689898.328,Desktop
2023-06-27,7283562,0.725,5280582,1.264,6674655.648,1.462,9758346.557,Desktop
2023-06-28,2623227,0.142,372498,1.725,642559.05,1.04,668261.412,Desktop
2023-06-29,3732116,0.879,3280529,0.96,3149307.84,1.279,4027964.727,Mobile
2023-06-29,4412140,0.299,1319229,0.315,415557.135,1.52,631646.845,Mobile
2023-06-30,1380710,0.478,659979,1.421,937830.159,1.464,1372983.353,Mobile
2023-07-01,7654942,0.704,5389079,0.21,1131706.59,1.364,1543647.789,Mobile
2023-07-01,610573,0.602,367564,0.572,210246.608,0.93,195529.345,Desktop
2023-07-02,8592345,0.919,7896365,1.754,13850224.21,1.204,16675669.949,Desktop
2023-07-03,4164350,0.379,1578288,1.643,2593127.184,1.336,3464417.918,Desktop
2023-07-04,8935395,0.751,6710481,1.989,13347146.709,1.493,19927290.037,Mobile
2023-07-04,8038175,0.794,6382310,2.055,13115647.05,1.286,16866722.106,Desktop
2023-07-05,9842771,0.119,1171289,1.775,2079037.975,1.172,2436632.507,Desktop
2023-07-06,8737720,0.17,1485412,0.617,916499.204,1.399,1282182.386,Mobile
2023-07-07,6859533,0.047,322398,0.437,140887.926,0.849,119613.849,Mobile
2023-07-07,8594716,0.451,3876216,1.822,7062465.552,1.282,9054080.838,Desktop
2023-07-08,8513910,0.016,136222,2.193,298734.846,0.851,254223.354,Desktop
2023-07-09,8175589,0.42,3433747,1.815,6232250.805,0.992,6182392.799,Desktop
2023-07-09,8741410,0.276,2412629,1.988,4796306.452,0.766,3673970.742,Desktop
2023-07-10,9511438,0.458,4356238,1.061,4621968.518,1.042,4816091.196,Mobile
2023-07-11,1848746,0.991,1832107,1.094,2004325.058,0.883,1769819.026,Mobile
2023-07-12,8038610,0.209,1680069,0.964,1619586.516,1.212,1962938.857,Desktop
2023-07-12,5340745,0.616,3289898,1.745,5740872.01,1.217,6986641.236,Desktop
2023-07-13,9627154,0.661,6363548,1.16,7381715.68,1.117,8245376.415,Mobile
2023-07-14,6138903,0.41,2516950,1.495,3762840.25,1.424,5358284.516,Mobile
2023-07-15,604474,0.883,533750,2.041,1089383.75,1.341,1460863.609,Desktop
2023-07-15,9565265,0.787,7527863,0.803,6044873.989,1.041,6292713.823,Desktop
2023-07-16,5787411,0.65,3761817,1.434,5394445.578,1.227,6618984.724,Desktop
2023-07-17,9406291,0.207,1947102,0.697,1357130.094,1.282,1739840.781,Mobile
2023-07-18,9625025,0.229,2204130,0.225,495929.25,1.28,634789.44,Desktop
2023-07-18,4464305,0.748,3339300,0.642,2143830.6,0.869,1862988.791,Mobile
2023-07-19,7814687,0.046,359475,0.598,214966.05,1.245,267632.732,Mobile
2023-07-20,620002,0.6,372001,2.184,812450.184,0.818,664584.251,Mobile
2023-07-20,2054126,0.18,369742,1.666,615990.172,0.811,499568.029,Desktop
2023-07-21,186915,0.08,14953,1.453,21726.709,1.48,32155.529,Desktop
2023-07-22,478412,0.037,17701,1.957,34640.857,0.935,32389.201,Desktop
2023-07-23,2195300,0.025,54882,1.962,107678.484,1.301,140089.708,Desktop
2023-07-23,5946846,0.935,5560301,1.085,6032926.585,0.99,5972597.319,Desktop
2023-07-24,7234766,0.871,6301481,0.448,2823063.488,0.872,2461711.362,Mobile
2023-07-25,7316505,0.599,4382586,2.192,9606628.512,1.408,13526132.945,Mobile
2023-07-26,5006877,0.865,4330948,2.316,10030475.568,1.214,12176997.34,Desktop
2023-07-26,442174,0.885,391323,2.266,886737.918,0.979,868116.422,Mobile
2023-07-27,6865967,0.553,3796879,0.564,2141439.756,0.78,1670323.01,Desktop
2023-07-28,8879840,0.481,4271203,1.21,5168155.63,1.214,6274140.935,Mobile
2023-07-28,2259332,0.725,1638015,1.08,1769056.2,0.762,1348020.824,Mobile
2023-07-29,3414848,0.53,1809869,2.262,4093923.678,1.523,6235045.762,Desktop
2023-07-30,8438950,0.672,5670974,0.495,2807132.13,1.413,3966477.7,Desktop
2023-07-31,9628297,0.288,2772949,0.951,2637074.499,0.871,2296891.889,Mobile
2023-07-31,8963139,0.341,3056430,1.582,4835272.26,1.406,6798392.798,Desktop
2023-08-01,1778169,0.031,55123,0.145,7992.835,1.348,10774.342,Mobile
2023-08-02,6359714,0.302,1920633,0.998,1916791.734,1.278,2449659.836,Desktop
2023-08-03,6914629,0.604,4176435,0.872,3641851.32,1.228,4472193.421,Desktop
2023-08-03,520493,0.69,359140,0.359,128931.26,1.327,171091.782,Desktop
2023-08-04,2095996,0.58,1215677,0.444,539760.588,1.033,557572.687,Mobile
2023-08-05,3798624,0.06,227917,1.555,354410.935,1.215,430609.286,Desktop
2023-08-06,3797732,0.574,2179898,0.577,1257801.146,1.007,1266605.754,Desktop
2023-08-06,7958662,0.077,612816,1.518,930254.688,0.909,845601.511,Mobile
2023-08-07,6429098,0.711,4571088,1.488,6801778.944,1.368,9304833.595,Mobile
2023-08-08,1172246,0.388,454831,1.081,491672.311,0.75,368754.233,Mobile
2023-08-08,8739662,0.291,2543241,1.636,4160742.276,0.782,3253700.46,Desktop
2023-08-09,2636627,0.529,1394775,1.834,2558017.35,0.766,1959441.29,Mobile
2023-08-10,3241348,0.399,1293297,0.741,958333.077,0.893,855791.438,Desktop
2023-08-11,1328610,0.104,138175,1.095,151301.625,0.881,133296.732,Mobile
2023-08-11,4377926,0.424,1856240,1.807,3354225.68,1.498,5024630.069,Desktop
2023-08-12,1332595,0.245,326485,0.973,317669.905,1.334,423771.653,Mobile
2023-08-13,9288002,0.533,4950505,0.51,2524757.55,1.401,3537185.328,Desktop
2023-08-14,1705777,0.736,1255451,1.474,1850534.774,1.012,1872741.191,Desktop
2023-08-14,5692049,0.247,1405936,0.666,936353.376,0.975,912944.542,Mobile
2023-08-15,8478482,0.211,1788959,0.974,1742446.066,0.784,1366077.716,Desktop
2023-08-16,689091,0.362,249450,0.186,46397.7,0.959,44495.394,Mobile
2023-08-16,3927433,0.856,3361882,0.528,1775073.696,0.842,1494612.052,Desktop
2023-08-17,2733284,0.195,532990,0.576,307002.24,1.371,420900.071,Mobile
2023-08-18,237000,0.892,211404,2.202,465511.608,0.981,456666.887,Mobile
2023-08-19,7555078,0.338,2553616,0.423,1080179.568,1.26,1361026.256,Mobile
2023-08-19,19290,0.875,16878,0.956,16135.368,1.156,18652.485,Mobile
2023-08-20,1819901,0.474,862633,1.718,1482003.494,1.236,1831756.319,Mobile
2023-08-21,3942040,0.688,2712123,1.627,4412624.121,1.241,5476066.534,Mobile
2023-08-22,3749379,0.585,2193386,0.313,686529.818,0.911,625428.664,Mobile
2023-08-22,4128953,0.856,3534383,1.344,4750210.752,1.176,5586247.844,Mobile
2023-08-23,2192626,0.949,2080802,1.655,3443727.31,1.252,4311546.592,Mobile
2023-08-24,1433018,0.737,1056134,2.278,2405873.252,1.363,3279205.242,Mobile
2023-08-25,2723760,0.384,1045923,0.217,226965.291,1.516,344079.381,Mobile
